Algoritmo,Tiempo,Instancia
BT,0.00487944,costo_peso_correlaciona_n20_cycle.txt
BT,0.005078,costo_peso_correlaciona_n22_cycle.txt
BT,0.00852185,costo_peso_correlaciona_n24_cycle.txt
BT,0.019691,costo_peso_correlaciona_n26_cycle.txt
BT,0.0245881,costo_peso_correlaciona_n28_cycle.txt
BT,0.0318455,costo_peso_correlaciona_n30_cycle.txt
BT,0.0525974,costo_peso_correlaciona_n32_cycle.txt
BT,0.0747342,costo_peso_correlaciona_n34_cycle.txt
BT,0.308844,costo_peso_correlaciona_n36_cycle.txt
BT,0.218756,costo_peso_correlaciona_n38_cycle.txt
BT,0.149093,costo_peso_correlaciona_n40_cycle.txt
BT,0.0240886,costo_peso_correlaciona_n20_star.txt
BT,0.29677,costo_peso_correlaciona_n22_star.txt
BT,0.903486,costo_peso_correlaciona_n24_star.txt
BT,0.695119,costo_peso_correlaciona_n26_star.txt
BT,1.09731,costo_peso_correlaciona_n28_star.txt
BT,11.0414,costo_peso_correlaciona_n30_star.txt
BT,34.0282,costo_peso_correlaciona_n32_star.txt
BT,87.3323,costo_peso_correlaciona_n34_star.txt
BT,105.289,costo_peso_correlaciona_n36_star.txt
BT,237.121,costo_peso_correlaciona_n38_star.txt
