Algoritmo,Tiempo,Instancia
BT,0.003317,costo_peso_correlaciona_n20_cycle.txt
BT,0.008946,costo_peso_correlaciona_n22_cycle.txt
BT,0.017515,costo_peso_correlaciona_n24_cycle.txt
BT,0.035463,costo_peso_correlaciona_n26_cycle.txt
BT,0.047559,costo_peso_correlaciona_n28_cycle.txt
BT,0.067986,costo_peso_correlaciona_n30_cycle.txt
BT,0.115682,costo_peso_correlaciona_n32_cycle.txt
BT,0.161098,costo_peso_correlaciona_n34_cycle.txt
BT,0.437323,costo_peso_correlaciona_n36_cycle.txt
BT,0.534075,costo_peso_correlaciona_n38_cycle.txt
BT,0.430899,costo_peso_correlaciona_n40_cycle.txt
BT,0.037278,costo_peso_correlaciona_n20_star.txt
BT,0.295266,costo_peso_correlaciona_n22_star.txt
BT,1.516638,costo_peso_correlaciona_n24_star.txt
BT,1.126166,costo_peso_correlaciona_n26_star.txt
BT,1.852266,costo_peso_correlaciona_n28_star.txt
BT,15.419742,costo_peso_correlaciona_n30_star.txt
BT,49.351093,costo_peso_correlaciona_n32_star.txt
BT,122.051359,costo_peso_correlaciona_n34_star.txt
BT,150.451725,costo_peso_correlaciona_n36_star.txt
BT,351.940880,costo_peso_correlaciona_n38_star.txt
