Algoritmo,Tiempo,Instancia
DP,0.00405697,mochila_chica_n10_no_conflict.txt
DP,0.0132049,mochila_chica_n20_no_conflict.txt
DP,0.0504163,mochila_chica_n30_no_conflict.txt
DP,0.121386,mochila_chica_n40_no_conflict.txt
DP,0.252961,mochila_chica_n50_no_conflict.txt
DP,0.576567,mochila_chica_n60_no_conflict.txt
DP,0.806103,mochila_chica_n70_no_conflict.txt
DP,1.03258,mochila_chica_n80_no_conflict.txt
DP,1.56542,mochila_chica_n90_no_conflict.txt
DP,2.13315,mochila_chica_n100_no_conflict.txt
DP,0.115713,mochila_apretada_n10_no_conflict.txt
DP,0.153366,mochila_apretada_n20_no_conflict.txt
DP,0.262688,mochila_apretada_n30_no_conflict.txt
DP,0.272702,mochila_apretada_n40_no_conflict.txt
DP,0.406892,mochila_apretada_n50_no_conflict.txt
DP,0.415981,mochila_apretada_n60_no_conflict.txt
DP,0.478617,mochila_apretada_n70_no_conflict.txt
DP,0.574618,mochila_apretada_n80_no_conflict.txt
