Algoritmo,Tiempo,Instancia,Items Seleccionados
BT,0.000858,mochila_chica_n10_no_conflict.txt,"[0, 1, 4, 7, 8, 9]"
PD,0.026154,mochila_chica_n10_no_conflict.txt,"[0, 1, 4, 7, 8, 9]"
BT,0.728216,mochila_chica_n20_no_conflict.txt,"[0, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 19]"
PD,0.478982,mochila_chica_n20_no_conflict.txt,"[0, 3, 4, 5, 9, 10, 14, 15, 16, 17, 18, 19]"
BT,74.720818,mochila_chica_n30_no_conflict.txt,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 17, 18, 20, 21, 24, 25, 26, 27, 28]"
PD,2.010591,mochila_chica_n30_no_conflict.txt,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 17, 18, 20, 21, 24, 25, 26, 27, 28]"
PD,6.219204,mochila_chica_n40_no_conflict.txt,"[0, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 25, 27, 28, 29, 32, 35, 39]"
PD,12.021718,mochila_chica_n50_no_conflict.txt,"[1, 2, 6, 9, 10, 11, 12, 14, 15, 16, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 40, 43, 44, 45, 46, 49]"
PD,20.962032,mochila_chica_n60_no_conflict.txt,"[0, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 19, 21, 23, 24, 26, 27, 31, 33, 34, 35, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 58, 59]"
PD,33.173697,mochila_chica_n70_no_conflict.txt,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 48, 52, 53, 56, 60, 62, 64, 65, 66, 68, 69]"
PD,51.546605,mochila_chica_n80_no_conflict.txt,"[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 26, 27, 29, 32, 34, 35, 36, 38, 39, 40, 42, 43, 44, 46, 48, 49, 51, 52, 53, 54, 55, 59, 60, 61, 62, 63, 66, 67, 68, 69, 71, 72, 74, 76, 77, 78]"
BT,0.000096,mochila_apretada_n10_no_conflict.txt,[2]
PD,2.606920,mochila_apretada_n10_no_conflict.txt,[2]
BT,0.000109,mochila_apretada_n20_no_conflict.txt,"[5, 14]"
PD,5.342520,mochila_apretada_n20_no_conflict.txt,"[5, 14]"
BT,0.000596,mochila_apretada_n30_no_conflict.txt,"[6, 20]"
PD,6.820610,mochila_apretada_n30_no_conflict.txt,"[6, 20]"
BT,0.000704,mochila_apretada_n40_no_conflict.txt,"[2, 16, 38]"
PD,9.110026,mochila_apretada_n40_no_conflict.txt,"[2, 16, 38]"
BT,0.005435,mochila_apretada_n50_no_conflict.txt,"[2, 7, 12]"
PD,10.137027,mochila_apretada_n50_no_conflict.txt,"[2, 7, 12]"
BT,0.002019,mochila_apretada_n60_no_conflict.txt,"[12, 51, 55]"
PD,10.942640,mochila_apretada_n60_no_conflict.txt,"[12, 51, 55]"
BT,0.001904,mochila_apretada_n70_no_conflict.txt,"[9, 58]"
PD,12.609291,mochila_apretada_n70_no_conflict.txt,"[9, 58]"
BT,0.005224,mochila_apretada_n80_no_conflict.txt,"[14, 15, 50]"
PD,14.803822,mochila_apretada_n80_no_conflict.txt,"[14, 15, 50]"
BT,0.005005,costo_peso_correlaciona_n20_cycle.txt,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
BT,0.013933,costo_peso_correlaciona_n22_cycle.txt,"[1, 3, 5, 7, 10, 12, 14, 16, 18, 20]"
BT,0.024779,costo_peso_correlaciona_n24_cycle.txt,"[0, 2, 4, 6, 9, 12, 15, 17, 19, 22]"
BT,0.046525,costo_peso_correlaciona_n26_cycle.txt,"[1, 3, 5, 7, 9, 11, 14, 17, 19, 21, 23]"
BT,0.065904,costo_peso_correlaciona_n28_cycle.txt,"[0, 2, 4, 6, 8, 12, 14, 17, 20, 22, 24, 26]"
BT,0.152145,costo_peso_correlaciona_n30_cycle.txt,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28]"
BT,0.206309,costo_peso_correlaciona_n32_cycle.txt,"[0, 2, 4, 7, 9, 11, 13, 16, 18, 20, 22, 24, 26, 28, 30]"
BT,0.246958,costo_peso_correlaciona_n34_cycle.txt,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 27, 29, 31]"
BT,0.749924,costo_peso_correlaciona_n36_cycle.txt,"[1, 3, 6, 8, 10, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 34]"
BT,0.852821,costo_peso_correlaciona_n38_cycle.txt,"[1, 3, 5, 7, 9, 11, 13, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36]"
BT,0.710626,costo_peso_correlaciona_n40_cycle.txt,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]"
BT,0.070424,costo_peso_correlaciona_n20_star.txt,"[1, 2, 7, 9, 10, 11, 14, 15, 16, 18]"
BT,0.589532,costo_peso_correlaciona_n22_star.txt,"[3, 4, 5, 6, 9, 11, 13, 16, 17, 19, 20, 21]"
BT,2.728222,costo_peso_correlaciona_n24_star.txt,"[0, 4, 5, 6, 7, 8, 9, 11, 13, 16, 18]"
BT,2.138207,costo_peso_correlaciona_n26_star.txt,"[3, 4, 5, 6, 9, 12, 14, 15, 16, 20, 21, 24]"
BT,3.349756,costo_peso_correlaciona_n28_star.txt,"[0, 3, 4, 7, 9, 10, 11, 18, 19, 20, 24, 25, 27]"
BT,26.503124,costo_peso_correlaciona_n30_star.txt,"[2, 6, 7, 8, 9, 11, 12, 15, 16, 17, 18, 20, 21, 24, 27]"
